pmid,title,has_url,is_false_positive,confidence,reason
30508159,"KnotProt 2.0: a database of proteins with knots and other entangled structures.",False,N,medium,Title contains 'database' indicating bioresource but lacks URL which is concerning
21914464,"IGD: a resource for intronless genes in the human genome.",True,N,high,Title contains 'resource' and has URL; describes a data collection
25388589,"iPathCons and iPathDB: an improved insect pathway construction tool and the database.",True,N,high,Title explicitly mentions 'database' component alongside tool; has URL
35134148,"CATA: a comprehensive chromatin accessibility database for cancer.",True,N,high,Title contains 'database' and has URL; clearly a data resource
31263870,"ValTrendsDB: bringing Protein Data Bank validation information closer to the user.",True,N,high,Database indicated by 'DB' suffix and 'database' context; has URL
27152146,"The Non-Coding RNA Ontology (NCRO): a comprehensive resource for the unification of non-coding RNA biology.",True,N,high,Title contains 'resource' for data unification; has URL
28111366,"Orchidstra 2.0-A Transcriptomics Resource for the Orchid Family.",True,N,high,Title contains 'Resource' for transcriptomics data; has URL
28147217,"CCG: an integrative resource of cancer protein-coding genes and long noncoding RNAs.",True,N,high,Title contains 'resource' indicating data collection; has URL
21536137,"Proteopedia: a status report on the collaborative, 3D web-encyclopedia of proteins and other biomolecules.",True,N,high,Title describes encyclopedia/database of protein data; has URL
28708269,"Heme Oxygenase Database (HemeOxDB) and QSAR Analysis of Isoform 1 Inhibitors.",True,N,high,Title explicitly contains 'Database'; has URL
24923821,"IFIM: a database of integrated fitness information for microbial genes.",True,N,high,Title contains 'database'; has URL
29194536,"circlncRNAnet: an integrated web-based resource for mapping functional networks of long or circular forms of noncoding RNAs.",True,N,high,Title contains 'resource' for data mapping; has URL
27242033,"gEVE: a genome-based endogenous viral element database provides comprehensive viral protein-coding sequences in mammalian genomes.",True,N,high,Title contains 'database provides'; has URL
29097748,"KIXBASE: A comprehensive web resource for identification and exploration of KIX domains.",True,N,high,Title contains 'resource' for domain exploration; has URL
33037820,"The Bgee suite: integrated curated expression atlas and comparative transcriptomics in animals.",True,N,high,Title contains 'atlas' indicating curated data collection; has URL
24265221,"ArchDB 2014: structural classification of loops in proteins.",True,N,high,Database indicated by 'DB' suffix; has URL
22301388,"Analysis of high accuracy, quantitative proteomics data in the MaxQB database.",True,N,high,Title explicitly mentions 'database'; has URL
34700680,"NCI Imaging Data Commons.",True,N,high,Title indicates 'Data Commons' which is a data repository; has URL
27899676,"TransportDB 2.0: a database for exploring membrane transporters in sequenced genomes from all domains of life.",True,N,high,Title contains 'database'; has URL
22715304,"FBIS: A regional DNA barcode archival & analysis system for Indian fishes.",True,N,high,Title contains 'archival' indicating data repository; has URL
24767249,"Genome-wide Mycobacterium tuberculosis variation (GMTV) database: a new tool for integrating sequence variations and epidemiology.",True,N,high,Title contains 'database' as primary component; has URL
