text,entity_count,entities
"ZINClick: a database of 16 million novel, patentable, and readily synthesizable 1,4-disubstituted triazoles. Since Professors Sharpless, Finn, and Kolb first introduced the concept of ""click reactions",6,"[('ZINClick', 'COM', 0, 1), ('a database of 16 million novel', 'FUL', 2, 8), ('ZINClick', 'COM', 150, 151), ('ZINClick', 'COM', 198, 199), ('http://www.symech.it/ZINClick', 'COM', 200, 201), ('ZINClick', 'COM', 206, 207)]"
Topology-Based and Conformation-Based Decoys Database: An Unbiased Online Database for Training and Benchmarking Machine-Learning Scoring Functions.,0,[]
"D-PLACE: A Global Database of Cultural, Linguistic and Environmental Diversity. From the foods we eat and the houses we construct, to our religious practices and political organization, to who we can ",7,"[('D-PLACE', 'COM', 0, 3), ('A Global Database of Cultural', 'FUL', 4, 9), ('D-PLACE', 'COM', 109, 112), ('D-PLACE', 'COM', 203, 206), ('D-PLACE', 'COM', 265, 268), ('D-PLACE', 'COM', 303, 306), ('D-PLACE', 'COM', 365, 368)]"
Update of the FANTOM web resource: expansion to provide additional transcriptome atlases. The FANTOM web resource (http://fantom.gsc.riken.jp/) was developed to provide easy access to the data produce,0,[]
miREV: An Online Database and Tool to Uncover Potential Reference RNAs and Biomarkers in Small-RNA Sequencing Data Sets from Extracellular Vesicles Enriched Samples. Extracellular vesicles (EVs) are n,4,"[('miREV', 'COM', 0, 1), ('miREV', 'COM', 90, 91), ('miREV', 'COM', 126, 127), ('miREV', 'COM', 179, 180)]"
"mycoCLAP, the database for characterized lignocellulose-active proteins of fungal origin: resource and text mining curation support. Enzymes active on components of lignocellulosic biomass are used fo",4,"[('mycoCLAP', 'COM', 0, 1), ('mycoCLAP', 'COM', 113, 114), ('mycoCLAP', 'COM', 129, 130), ('mycoCLAP', 'COM', 190, 191)]"
International spinal cord injury endocrine and metabolic extended data set. <h4>Objective</h4>The objective of this study was to develop the International Spinal Cord Injury (SCI) Endocrine and Metabo,7,"[('Endocrine and Metabolic Extended Data Set', 'FUL', 32, 38), ('ISCIEMEDS', 'COM', 39, 40), ('ISCIEMEDS', 'COM', 81, 82), ('ISCIEMEDS', 'COM', 91, 92), ('ISCIEMEDS', 'COM', 166, 167), ('ISCIEMEDS', 'COM', 207, 208), ('ISCIEMEDS', 'COM', 244, 245)]"
Chemo-structural diversity of anti-obesity compound database.,0,[]
MiasDB: A Database of Molecular Interactions Associated with Alternative Splicing of Human Pre-mRNAs. Alternative splicing (AS) is pervasive in human multi-exon genes and is a major contributor to exp,2,"[('MiasDB', 'COM', 0, 1), ('MiasDB', 'COM', 113, 114)]"
Gene3D: Extensive prediction of globular domains in proteins. Gene3D (http://gene3d.biochem.ucl.ac.uk) is a database of globular domain annotations for millions of available protein sequences. Gene3D ,7,"[('Gene3D', 'COM', 0, 1), ('Extensive prediction of globular domains in proteins', 'FUL', 2, 9), ('Gene3D', 'COM', 10, 11), ('Gene3D', 'COM', 28, 29), ('Gene3D', 'COM', 47, 48), ('Gene3D', 'COM', 54, 55), ('Gene3D', 'COM', 91, 92)]"
