resource_id,short_name,top_candidate,top_count,alternatives
MobiDB,MobiDB,10 years of intrinsically disordered proteins,1,"[('10\xa0years of intrinsically disordered proteins', 1), ('intrinsically disordered proteins in 2021', 1), ('a comprehensive database of intrinsic protein disorder annotations', 1)]"
MGnify,MGnify,the microbiome sequence data analysis resource in 2023,1,"[('the microbiome sequence data analysis resource in 2023', 1), ('the microbiome analysis resource in 2020', 1)]"
GeneFriends,GeneFriends,gene co-expression databases and tools for humans and model organisms,1,"[('gene co-expression databases and tools for humans and model organisms', 1), ('a human RNA-seq-based gene and transcript co-expression database', 1)]"
Norine,Norine,update of the nonribosomal peptide resource,1,"[('update of the nonribosomal peptide resource', 1), ('A powerful resource for novel nonribosomal peptide discovery', 1)]"
APPRIS,APPRIS,selecting functionally important isoforms,1,"[('selecting functionally important isoforms', 1), ('annotation of principal and alternative splice isoforms', 1)]"
qPrimerDB,qPrimerDB,A Powerful and User-Friendly Database for qPCR Primer Design,1,"[('A Powerful and User-Friendly Database for qPCR Primer Design', 1), ('a thermodynamics-based gene-specific qPCR primer database for 147 organisms', 1)]"
FuzDB,FuzDB,a new phase in understanding fuzzy interactions,1,"[('a new phase in understanding fuzzy interactions', 1), ('database of fuzzy complexes', 1)]"
ProteomicsDB,ProteomicsDB,toward a FAIR open-source resource for life-science research,1,"[('toward a FAIR open-source resource for life-science research', 1), ('a multi-omics and multi-organism resource for life science research', 1)]"
PLSDB,PLSDB,advancing a comprehensive database of bacterial plasmids,1,"[('advancing a comprehensive database of bacterial plasmids', 1), ('a resource of complete bacterial plasmids', 1)]"
piRBase,piRBase,integrating piRNA annotation in all aspects,1,"[('integrating piRNA annotation in all aspects', 1), ('a comprehensive database of piRNA sequences', 1), ('a web resource assisting piRNA functional study', 1)]"
Plant Reactome,Plant Reactome,a knowledgebase and resource for comparative pathway analysis,1,"[('a knowledgebase and resource for comparative pathway analysis', 1), ('a resource for plant pathways and comparative analysis', 1)]"
HpBase,HpBase,Sea Urchin Hemicentrotus pulcherrimus,1,"[('Sea Urchin Hemicentrotus pulcherrimus', 1), ('A genome database of a sea urchin', 1)]"
RNAcentral,RNAcentral,a hub of information for non-coding RNA sequences,1,"[('a hub of information for non-coding RNA sequences', 1), ('a comprehensive database of non-coding RNA sequences', 1), ('an international database of ncRNA sequences', 1)]"
ClinVar,ClinVar,improvements to accessing data,1,"[('improvements to accessing data', 1), ('improving access to variant interpretations and supporting evidence', 1), ('public archive of interpretations of clinically relevant variants', 1)]"
miRDB,miRDB,an online database for prediction of functional microRNA targets,1,"[('an online database for prediction of functional microRNA targets', 1), ('an online resource for microRNA target prediction and functional annotations', 1)]"
WDSPdb,WDSPdb,an updated resource for WD40 proteins,1,"[('an updated resource for WD40 proteins', 1), ('a database for WD40-repeat proteins', 1)]"
BitterDB,BitterDB,taste ligands and receptors database in 2019,1,"[('taste ligands and receptors database in 2019', 1), ('a database of bitter compounds', 1)]"
miRBase,miRBase,from microRNA sequences to function,1,"[('from microRNA sequences to function', 1), ('annotating high confidence microRNAs using deep sequencing data', 1)]"
ChromothripsisDB,ChromothripsisDB,A Curated Database for the Documentation,1,"[('A Curated Database for the Documentation', 1), ('a curated database of chromothripsis', 1)]"
Gene3D,Gene3D,Extensive prediction of globular domains in proteins,1,"[('Extensive prediction of globular domains in proteins', 1), ('expanding the utility of domain assignments', 1), ('Multi-domain annotations for protein sequence and comparative genome analysis', 1)]"
iPTMnet,iPTMnet,an integrated resource for protein post-translational modification network discovery,1,"[('an integrated resource for protein post-translational modification network discovery', 1), ('Integrative Bioinformatics for Studying PTM Networks', 1)]"
UniCarbKB,UniCarbKB,building a knowledge platform for glycoproteomics,1,"[('building a knowledge platform for glycoproteomics', 1), ('putting the pieces together for glycomics research', 1)]"
WheatGenome.info,WheatGenome.info,A Resource for Wheat Genomics Resource,1,"[('A Resource for Wheat Genomics Resource', 1), ('an integrated database and portal for wheat genome information', 1)]"
Lynx,Lynx,a knowledge base and an analytical workbench for integrative medicine,1,"[('a knowledge base and an analytical workbench for integrative medicine', 1), ('a database and knowledge extraction engine for integrative medicine', 1)]"
LegProt,LegProt,A legume specific protein database,1,"[('A legume specific protein database', 1), ('legume specific protein', 1)]"
CORE,CORE,phylogenetically-curated 16S rDNA,1,"[('phylogenetically-curated 16S rDNA', 1), ('a phylogenetically-curated 16S rDNA database of the core oral microbiome', 1)]"
