pmid,title,why_false_positive,primary_entity,abstract,resource_url,ling_score,setfit_confidence,pattern_count,true_fp,notes
31443733,Variant Interpretation for Cancer (VIC): a computational tool for assessing clinical impacts of somatic variants.,"methodology: ""tool for""; methodology: ""computational""; biology: cancer study; biology: clinical study; biology: variant study",vic,"<h4>Background</h4>Clinical laboratories implement a variety of measures to classify somatic sequence variants and identify clinically significant variants to facilitate the implementation of precision medicine. To standardize the interpretation process, the Association for Molecular Pathology (AMP), American Society of Clinical Oncology (ASCO), and College of American Pathologists (CAP) published guidelines for the interpretation and reporting of sequence variants in cancer in 2017. These guidelines classify somatic variants using a four-tiered system with ten criteria. Even with the standardized guidelines, assessing clinical impacts of somatic variants remains to be tedious. Additionally, manual implementation of the guidelines may vary among professionals and may lack reproducibility when the supporting evidence is not documented in a consistent manner.<h4>Results</h4>We developed a semi-automated tool called ""Variant Interpretation for Cancer"" (VIC) to accelerate the interpretation process and minimize individual biases. VIC takes pre-annotated files and automatically classifies sequence variants based on several criteria, with the ability for users to integrate additional evidence to optimize the interpretation on clinical impacts. We evaluated VIC using several publicly available databases and compared with several predictive software programs. We found that VIC is time-efficient and conservative in classifying somatic variants under default settings, especially for variants with strong and/or potential clinical significance. Additionally, we also tested VIC on two cancer-panel sequencing datasets to show its effectiveness in facilitating manual interpretation of somatic variants.<h4>Conclusions</h4>Although VIC cannot replace human reviewers, it will accelerate the interpretation process on somatic variants. VIC can also be customized by clinical laboratories to fit into their analytical pipelines to facilitate the laborious process of somatic variant interpretation. VIC is freely available at https://github.com/HGLab/VIC/ .",x,6,,5,Y,
34876593,A computational approach for the discovery of significant cancer genes by weighted mutation and asymmetric spreading strength in networks.,"methodology: ""computational""; methodology: ""approach for""; biology: cancer study; biology: mutation study",,"Identifying significantly mutated genes in cancer is essential for understanding the mechanisms of tumor initiation and progression. This task is a key challenge since large-scale genomic studies have reported an endless number of genes mutated at a shallow frequency. Towards uncovering infrequently mutated genes, gene interaction networks combined with mutation data have been explored. This work proposes Discovering Significant Cancer Genes (DiSCaGe), a computational method for discovering significant genes for cancer. DiSCaGe computes a mutation score for the genes based on the type of mutations they have. The influence received for their neighbors in the network is also considered and obtained through an asymmetric spreading strength applied to a consensus gene network. DiSCaGe produces a ranking of prioritized possible cancer genes. An experimental evaluation with six types of cancer revealed the potential of DiSCaGe for discovering known and possible novel significant cancer genes.",x,,0.69843894,4,Y,
31147699,ORVAL: a novel platform for the prediction and exploration of disease-causing oligogenic variant combinations.,"methodology: ""platform for""; methodology: ""prediction""; biology: disease study; biology: variant study",orval,"A tremendous amount of DNA sequencing data is being produced around the world with the ambition to capture in more detail the mechanisms underlying human diseases. While numerous bioinformatics tools exist that allow the discovery of causal variants in Mendelian diseases, little to no support is provided to do the same for variant combinations, an essential task for the discovery of the causes of oligogenic diseases. ORVAL (the Oligogenic Resource for Variant AnaLysis), which is presented here, provides an answer to this problem by focusing on generating networks of candidate pathogenic variant combinations in gene pairs, as opposed to isolated variants in unique genes. This online platform integrates innovative machine learning methods for combinatorial variant pathogenicity prediction with visualization techniques, offering several interactive and exploratory tools, such as pathogenic gene and protein interaction networks, a ranking of pathogenic gene pairs, as well as visual mappings of the cellular location and pathway information. ORVAL is the first web-based exploration platform dedicated to identifying networks of candidate pathogenic variant combinations with the sole ambition to help in uncovering oligogenic causes for patients that cannot rely on the classical disease analysis tools. ORVAL is available at https://orval.ibsquare.be.",https://orval.ibsquare.be,3,,4,N,platform includes housed data
25277758,Comparative analysis of a novel disease phenotype network based on clinical manifestations.,"usage: ""analysis of/using""; usage: ""based on/approach""; biology: disease study; biology: clinical study",dmn,"Systems approaches to analyzing disease phenotype networks in combination with protein functional interaction networks have great potential in illuminating disease pathophysiological mechanisms. While many genetic networks are readily available, disease phenotype networks remain largely incomplete. In this study, we built a large-scale Disease Manifestation Network (DMN) from 50,543 highly accurate disease-manifestation semantic relationships in the United Medical Language System (UMLS). Our new phenotype network contains 2305 nodes and 373,527 weighted edges to represent the disease phenotypic similarities. We first compared DMN with the networks representing genetic relationships among diseases, and demonstrated that the phenotype clustering in DMN reflects common disease genetics. Then we compared DMN with a widely-used disease phenotype network in previous gene discovery studies, called mimMiner, which was extracted from the textual descriptions in Online Mendelian Inheritance in Man (OMIM). We demonstrated that DMN contains different knowledge from the existing phenotype data source. Finally, a case study on Marfan syndrome further proved that DMN contains useful information and can provide leads to discover unknown disease causes. Integrating DMN in systems approaches with mimMiner and other data offers the opportunities to predict novel disease genetics. We made DMN publicly available at nlp/case.edu/public/data/DMN.",,,0.6878756,4,Y,
22689388,synbreed: a framework for the analysis of genomic prediction data using R.,"usage: ""using [resource]""; usage: ""analysis of/using""; methodology: ""framework""; methodology: ""prediction""",,"<h4>Summary</h4>We present a novel R package named synbreed to derive genome-based predictions from high-throughput genotyping and large-scale phenotyping data. The package contains a comprehensive collection of functions required to fit and cross-validate genomic prediction models. All functions are embedded within the framework of a single, unified data object. Thereby a versatile genomic prediction analysis pipeline covering data processing, visualization and analysis is established within one software package. The implementation is flexible with respect to a wide range of data formats and models. The package fills an existing gap in the availability of user-friendly software for next-generation genetics research and education.<h4>Availability</h4>synbreed is open-source and available through CRAN http://cran.r-project.org/web/packages/synbreed. The latest development version is available from R-Forge. The package synbreed is released with a vignette, a manual and three large-scale example datasets (from package synbreedData).<h4>Contact</h4>chris.schoen@wzw.tum.de<h4>Supplementary information</h4>Supplementary data are available at Bioinformatics online.",http://cran.r-project.org/web/packages/synbreed,4,,4,Y,
29687309,DR2DI: a powerful computational tool for predicting novel drug-disease associations.,"methodology: ""tool for""; methodology: ""computational""; biology: disease study; biology: drug study",dr2di,"Finding the new related candidate diseases for known drugs provides an effective method for fast-speed and low-risk drug development. However, experimental identification of drug-disease associations is expensive and time-consuming. This motivates the need for developing in silico computational methods that can infer true drug-disease pairs with high confidence. In this study, we presented a novel and powerful computational tool, DR2DI, for accurately uncovering the potential associations between drugs and diseases using high-dimensional and heterogeneous omics data as information sources. Based on a unified and extended similarity kernel framework, DR2DI inferred the unknown relationships between drugs and diseases using Regularized Kernel Classifier. Importantly, DR2DI employed a semi-supervised and global learning algorithm which can be applied to uncover the diseases (drugs) associated with known and novel drugs (diseases). In silico global validation experiments showed that DR2DI significantly outperforms recent two approaches for predicting drug-disease associations. Detailed case studies further demonstrated that the therapeutic indications and side effects of drugs predicted by DR2DI could be validated by existing database records and literature, suggesting that DR2DI can be served as a useful bioinformatic tool for identifying the potential drug-disease associations and guiding drug repositioning. Our software and comparison codes are freely available at https://github.com/huayu1111/DR2DI .",,4,,4,Y,
24564956,BRCA-Monet: a breast cancer specific drug treatment mode-of-action network for treatment effective prediction using large scale microarray database.,"usage: ""using [resource]""; methodology: ""prediction""; biology: cancer study; biology: drug study",,"<h4>Background</h4>Connectivity map (cMap) is a recent developed dataset and algorithm for uncovering and understanding the treatment effect of small molecules on different cancer cell lines. It is widely used but there are still remaining challenges for accurate predictions.<h4>Method</h4>Here, we propose BRCA-MoNet, a network of drug mode of action (MoA) specific to breast cancer, which is constructed based on the cMap dataset. A drug signature selection algorithm fitting the characteristic of cMap data, a quality control scheme as well as a novel query algorithm based on BRCA-MoNet are developed for more effective prediction of drug effects.<h4>Result</h4>BRCA-MoNet was applied to three independent data sets obtained from the GEO database: Estrodial treated MCF7 cell line, BMS-754807 treated MCF7 cell line, and a breast cancer patient microarray dataset. In the first case, BRCA-MoNet could identify drug MoAs likely to share same and reverse treatment effect. In the second case, the result demonstrated the potential of BRCA-MoNet to reposition drugs and predict treatment effects for drugs not in cMap data. In the third case, a possible procedure of personalized drug selection is showcased.<h4>Conclusions</h4>The results clearly demonstrated that the proposed BRCA-MoNet approach can provide increased prediction power to cMap and thus will be useful for identification of new therapeutic candidates.",,,0.68706834,4,Y,
25697908,CapsidMaps: protein-protein interaction pattern discovery platform for the structural analysis of virus capsids using Google Maps.,"usage: ""using [resource]""; usage: ""analysis of/using""; methodology: ""platform for""; biology: protein function",,"Structural analysis and visualization of protein-protein interactions is a challenging task since it is difficult to appreciate easily the extent of all contacts made by the residues forming the interfaces. In the case of viruses, structural analysis becomes even more demanding because several interfaces coexist and, in most cases, these are formed by hundreds of contacting residues that belong to multiple interacting coat proteins. CapsidMaps is an interactive analysis and visualization tool that is designed to benefit the structural virology community. Developed as an improved extension of the φ-ψ Explorer, here we describe the details of its design and implementation. We present results of analysis of a spherical virus to showcase the features and utility of the new tool. CapsidMaps also facilitates the comparison of quaternary interactions between two spherical virus particles by computing a similarity (S)-score. The tool can also be used to identify residues that are solvent exposed and in the process of locating antigenic epitope regions as well as residues forming the inside surface of the capsid that interact with the nucleic acid genome. CapsidMaps is part of the VIPERdb Science Gateway, and is freely available as a web-based and cross-browser compliant application at http://viperdb.scripps.edu.",http://viperdb.scripps.edu,6,,4,N,this has db in the name and again is a platform with housed data
31373611,circMeta: a unified computational framework for genomic feature annotation and differential expression analysis of circular RNAs.,"usage: ""analysis of/using""; methodology: ""framework""; methodology: ""computational""; biology: expression study",,"<h4>Motivation</h4>Circular RNAs (circRNAs), a class of non-coding RNAs generated from non-canonical back-splicing events, have emerged to play key roles in many biological processes. Though numerous tools have been developed to detect circRNAs from rRNA-depleted RNA-seq data based on back-splicing junction-spanning reads, computational tools to identify critical genomic features regulating circRNA biogenesis are still lacking. In addition, rigorous statistical methods to perform differential expression (DE) analysis of circRNAs remain under-developed.<h4>Results</h4>We present circMeta, a unified computational framework for circRNA analyses. circMeta has three primary functional modules: (i) a pipeline for comprehensive genomic feature annotation related to circRNA biogenesis, including length of introns flanking circularized exons, repetitive elements such as Alu elements and SINEs, competition score for forming circulation and RNA editing in back-splicing flanking introns; (ii) a two-stage DE approach of circRNAs based on circular junction reads to quantitatively compare circRNA levels and (iii) a Bayesian hierarchical model for DE analysis of circRNAs based on the ratio of circular reads to linear reads in back-splicing sites to study spatial and temporal regulation of circRNA production. Both proposed DE methods without and with considering host genes outperform existing methods by obtaining better control of false discovery rate and comparable statistical power. Moreover, the identified DE circRNAs by the proposed two-stage DE approach display potential biological functions in Gene Ontology and circRNA-miRNA-mRNA networks that are not able to be detected using existing mRNA DE methods. Furthermore, top DE circRNAs have been further validated by RT-qPCR using divergent primers spanning back-splicing junctions.<h4>Availability and implementation</h4>The software circMeta is freely available at https://github.com/lichen-lab/circMeta.<h4>Supplementary information</h4>Supplementary data are available at Bioinformatics online.",,5,,4,Y,
33363710,FangNet: Mining herb hidden knowledge from TCM clinical effective formulas using structure network algorithm.,"usage: ""using [resource]""; usage: ""mining""; methodology: ""algorithm""; biology: clinical study",,"The use of herbs to treat various human diseases has been recorded for thousands of years. In Asia's current medical system, numerous herbal formulas have been repeatedly verified to confirm their effectiveness in different periods, which is a great resource for drug innovation and discovery. Through the mining of these clinical effective formulas by network pharmacology and bioinformatics analysis, important biologically active ingredients derived from these natural products might be discovered. As modern medicine requires a combination of multiple drugs for the treatment of complex diseases, previously clinical formulas are also combinations of various herbs according to the main causes and accompanying symptoms. However, the herbs that play a major role in the treatment of diseases are always unclear. Therefore, how to rank each herb's relative importance and determine the core herbs, is the first step to assisting herb selection for active ingredients discovery. To solve this problem, we built the platform FangNet, which ranks all herbs on their relative topological importance using the PageRank algorithm, based on the constructed symptom-herb network from a collection of clinical empirical prescriptions. Three types of herb hidden knowledge, including herb importance rank, herb-herb co-occurrence, and associations to symptoms, were provided in an interactive visualization. Moreover, FangNet has designed role-based permission for teams to store, analyze, and jointly interpret their clinical formulas, in an easy and secure collaboration environment, aiming at creating a central hub for massive symptom-herb connections. FangNet can be accessed at http://fangnet.org or http://fangnet.herb.ac.cn.",http://fangnet.org,3,,4,Y,
